1,United Arab Emirates,Abu Dhabi,
2,Nigeria,Abuja,
3,Ghana,Accra,
4,Pitcairn Islands,Adamstown,
5,Ethiopia,Addis Ababa,
6,Algeria,Algiers,
7,Niue,Alofi,
8,Jordan,Amman,
9,Netherlands,Amsterdam,
10,Andorra,Andorra la Vella,
11,Turkey,Ankara,
12,Madagascar,Antananarivo,
13,Samoa,Apia,
14,Turkmenistan,Ashgabat,
15,Eritrea,Asmara,
16,Kazakhstan,Astana,
17,Paraguay,Asuncin,
18,Greece,Athens,
19,Cook Islands,Avarua,
20,Iraq,Baghdad,
21,Azerbaijan,Baku,
22,Mali,Bamako,
23,Brunei,Bandar Seri Begawan,
24,Thailand,Bangkok,
25,Central African Republic,Bangui,
26,Gambia,Banjul,
27,Saint Kitts and Nevis,Basseterre,
28,China,Beijing,
29,Lebanon,Beirut,
30,Serbia,Belgrade,
31,Belize,Belmopan,
32,Germany,Berlin,
33,Switzerland,Bern,
34,Kyrgyzstan,Bishkek,
35,Guinea-Bissau,Bissau,
36,Colombia,Bogota,
37,Brazil,Brasilia,
38,Slovakia,Bratislava,
39,Republic of the Congo,Brazzaville,
40,Barbados,Bridgetown,
41,Belgium,Brussels,
42,Romania,Bucharest,
43,Hungary,Budapest,
44,Argentina,Buenos Aires,
45,Burundi,Bujumbura,
46,Egypt,Cairo,
47,Australia,Canberra,
48,Venezuela,Caracas,
49,Saint Lucia,Castries,
50,French Guiana,Cayenne,
51,United States Virgin Islands,Charlotte Amalie,
52,Moldova,Chisinau,
53,Turks and Caicos Islands,Cockburn Town,
54,Guinea,Conakry,
55,Denmark,Copenhagen,
56,Senegal,Dakar,
57,Syria,Damascus,
58,Bangladesh,Dhaka,
59,East Timor (Timor-Leste),Dili,
60,Djibouti,Djibouti,
61,Tanzania,Dar es Salaam,
62,Qatar,Doha,
63,Isle of Man,Douglas,
64,Ireland,Dublin,
65,Tajikistan,Dushanbe,
68,Akrotiri and Dhekelia,Episkopi Cantonment,
69,Christmas Island,Flying Fish Cove,
70,Sierra Leone,Freetown,
71,Tuvalu,Funafuti,
72,Botswana,Gaborone,
73,Cayman Islands,George Town,
74,Ascension Island,Georgetown,
75,Guyana,George_town,
76,Gibraltar,Gibraltar,
77,South Georgia and the South Sandwich Islands,Grytviken,
78,Guatemala,Guatemala City,
79,Saint Barthlemy,Gustavia,
80,Guam,Hagta,
81,Bermuda,Hamilton,
82,Easter Island,Hanga Roa,
83,Vietnam,Hanoi,
84,Zimbabwe,Harare,
85,Somaliland,Hargeisa,
86,Cuba,Havana,
87,Finland,Helsinki,
88,Solomon Islands,Honiara,
89,Pakistan,Islamabad,
90,Indonesia,Jakarta,
91,Saint Helena,Jamestown,
92,Israel,Jerusalem,
94,South Sudan,Juba,
95,Afghanistan,Kabul,
96,Uganda,Kampala,
97,Nepal,Kathmandu,
98,Sudan,Khartoum,
99,Ukraine,Kiev,
100,Rwanda,Kigali,
101,Jamaica,Kingston,
102,Norfolk Island,kingston,
103,Saint Vincent and the Grenadines,Kingstown,
104,Democratic Republic of the Congo,Kinshasa,
105,Malaysia,Kuala Lumpur,
